"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"kanzi.transform.TextCodec.computeStats(byte[ ], int, int, int[ ], boolean)",389841,147014,47,1
"kanzi.transform.X86Codec.isExeBlock(byte[ ], int, int, int)",235090,0,48,0
"kanzi.transform.TextCodec$TextCodec1.expandDictionary()",210625,0,96,0
"kanzi.transform.TextCodec$DictEntry.<init>(byte[ ], int, int, int, int)",172097,39947,1000448,524288
"kanzi.Global.computeHistogramOrder0(byte[ ], int, int, int[ ], boolean)",165362,38273,-980,1028
"kanzi.transform.TextCodec$TextCodec1.reset(int)",117477,0,48,0
"kanzi.transform.RLT.emitRunLength(byte[ ], int, int, int, byte, byte)",22217,0,177069,0
"java.util.concurrent.ExecutorService.invokeAll(java.util.Collection)",15552,0,7,0
"kanzi.entropy.TPAQPredictor$Mixer.<init>()",14531,0,96512,0
"kanzi.transform.Sequence.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",11099,0,48,0
"kanzi.app.InfoPrinter.processEvent(kanzi.Event)",6485,0,194,0
"java.io.PrintStream.println(java.lang.String)",5856,0,72,0
"kanzi.entropy.LogisticAdaptiveProbMap.<init>(int, int)",3470,0,48,0
"kanzi.transform.X86Codec.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",2206,0,48,0
"java.util.concurrent.ThreadPoolExecutor$Worker.run()",2031,0,7,0
"java.lang.Long.valueOf(long)",1239,0,290,0
"java.util.Map.put(java.lang.Object, java.lang.Object)",745,0,312,0
"java.nio.file.Files.isRegularFile(java.nio.file.Path, java.nio.file.LinkOption[ ])",734,0,2,0
"kanzi.app.InfoPrinter.<init>(int, kanzi.app.InfoPrinter$Type, java.io.PrintStream)",708,0,1,0
"java.lang.Integer.valueOf(int)",596,0,681,0
"java.util.Map.getOrDefault(java.lang.Object, java.lang.Object)",571,0,434,0
"kanzi.transform.TransformFactory.getTypeToken(java.lang.String)",513,0,6,0
"kanzi.transform.TextCodec.isUpperCase(byte)",486,0,5487,0
"kanzi.app.Kanzi.processCommandLine(java.lang.String[ ], java.util.Map)",463,0,1,0
"java.util.HashMap.<init>(java.util.Map)",459,0,48,0
"kanzi.Event.<init>(kanzi.Event$Type, int, long, int, boolean)",435,0,194,0
"java.lang.Math.min(int, int)",420,0,1870,0
"java.lang.String.equals(java.lang.Object)",368,0,586,0
"java.lang.String.toUpperCase()",359,0,59,0
"java.util.Map.remove(java.lang.Object)",358,0,58,0
"java.lang.String.split(java.lang.String)",353,0,3,0
"kanzi.io.CompressedOutputStream.notifyListeners(kanzi.Listener[ ], kanzi.Event)",352,0,192,0
"kanzi.Event.<init>(kanzi.Event$Type, int, long, int, boolean, long)",342,0,194,0
"kanzi.transform.TextCodec.<clinit>()",326,0,1,0
"java.util.Map.get(java.lang.Object)",300,0,153,0
"kanzi.bitstream.DefaultOutputBitStream.isClosed()",291,0,1704,0
"kanzi.transform.TextCodec$TextCodec1.<init>(java.util.Map)",290,0,48,0
"kanzi.bitstream.DefaultOutputBitStream.close()",290,0,49,0
"kanzi.bitstream.DefaultOutputBitStream.<init>(java.io.OutputStream, int)",254,0,49,0
"kanzi.io.CompressedOutputStream.<init>(kanzi.OutputBitStream, java.util.Map)",-37442,43035,0,1
"kanzi.transform.DivSufSort.trMedian3(int[ ], int, int, int, int)",-44027,44027,-335626,335626
"kanzi.transform.DivSufSort.ssMedian5(int, int, int, int, int, int, int)",-63508,63508,-447834,447834
"kanzi.transform.DivSufSort.ssMedian3(int, int, int, int, int)",-73526,73526,-543208,543208
"kanzi.transform.BWT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-74951,74951,-1,1
"kanzi.transform.DivSufSort.computeBWT(byte[ ], byte[ ], int[ ], int, int, int, int[ ], int)",-84152,84152,-1,1
"kanzi.transform.DivSufSort.ssIlg(int)",-89948,89948,-879443,879443
"kanzi.transform.DivSufSort.ssPartition(int, int, int, int)",-98096,98096,-437100,437100
"kanzi.transform.DivSufSort$TRBudget.check(int)",-109845,109845,-1121148,1121148
"kanzi.transform.DivSufSort.trPivot(int[ ], int, int, int)",-111359,111359,-535018,535018
"kanzi.Memory$BigEndian.writeLong64(byte[ ], int, long)",-134848,368975,-2673802,5283283
"kanzi.Memory$BigEndian.readLong64(byte[ ], int)",-166669,397993,-2656931,5266221
"kanzi.transform.DivSufSort.ssPivot(int, int, int, int)",-197945,197945,-895009,895009
"kanzi.transform.DivSufSort.trSort(int, int)",-232047,232047,-1,1
"kanzi.transform.DivSufSort$Stack.push(int, int, int, int, int)",-243889,243889,-2539457,2539457
"kanzi.transform.ZRLT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-246319,246319,-1,1
"kanzi.bitstream.DefaultOutputBitStream.writeBits(byte[ ], int, int)",-261086,878841,-933,1029
"kanzi.transform.DivSufSort.trIlg(int)",-287614,287614,-2923260,2923260
"kanzi.bitstream.DefaultOutputBitStream.pushCurrent()",-302138,844488,-2673802,5283283
"kanzi.transform.DivSufSort$Stack.pop()",-404963,404963,-3947293,3947293
"kanzi.transform.TextCodec$TextCodec2.emitSymbols(byte[ ], int, byte[ ], int, int, int)",-462712,462712,-4625539,4625539
"kanzi.transform.DivSufSort.trInsertionSort(int, int, int)",-600885,600885,-2977117,2977117
"kanzi.transform.DivSufSort.sortTypeBstar(int[ ], int[ ], int)",-683166,683166,-1,1
"kanzi.transform.DivSufSort.ssMergeBackward(int, int, int, int, int, int)",-934500,934500,-2169,2169
"kanzi.transform.SBRT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-956931,956931,-1,1
"kanzi.transform.TextCodec$TextCodec2.emitWordIndex(byte[ ], int, int, int)",-1039165,1039165,-12697965,12697965
"kanzi.transform.DivSufSort.trPartition(int, int, int, int, int)",-1290470,1290470,-535262,535262
"kanzi.transform.DivSufSort.trIntroSort(int, int, int, int, kanzi.transform.DivSufSort$TRBudget)",-1403889,1403889,-1382349,1382349
"kanzi.transform.DivSufSort.constructBWT(int[ ], int[ ], int, int, int[ ], int)",-1683686,1683686,-1,1
"kanzi.transform.DivSufSort.ssInsertionSort(int, int, int, int)",-2221062,2221062,-1170187,1170187
"kanzi.entropy.ANSRangeEncoder.encodeSymbol(int[ ], int, kanzi.entropy.ANSRangeEncoder$Symbol)",-2462807,2462807,-33678300,33678300
"kanzi.entropy.ANSRangeEncoder.encodeChunk(byte[ ], int, int)",-2831974,2831974,-1028,1028
"kanzi.transform.DivSufSort.ssCompare(int, int, int)",-3320133,3320133,-30272617,30272617
"kanzi.transform.DivSufSort.swapInSA(int, int)",-4841531,4841531,-62866167,62866167
"kanzi.transform.DivSufSort.ssMultiKeyIntroSort(int, int, int, int)",-7787177,7787177,-23318,23318
"kanzi.transform.TextCodec$TextCodec2.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-13464763,13464763,-1,1
